Clean_Symbol,GSM2048265,GSM2048266,GSM2048267,GSM2048268,GSM2048269,GSM2048270,GSM2048271,GSM2048272,GSM2048273,GSM2048274,GSM2048275,GSM2048276,GSM2048277,GSM2048278,GSM2048279,GSM2048280,GSM2048281,GSM2048282,GSM2048283,GSM2048284,GSM2048285,GSM2048286,GSM2048287
ABCC4,6.548436624696042,6.645298163948631,7.543805175964397,6.776103988073165,6.946028989515477,6.978424465440858,6.984133594540979,7.166916251569974,6.133399125417198,7.190812367916136,9.604367899893749,8.777090896131869,8.246027980528105,7.1649069266756875,8.023477151830432,7.318316841334983,8.36150519794804,7.138527801422274,7.73809225962049,7.258330472612426,7.602142090697982,7.281698250098829,8.454916137514804
ABCC5,7.876516946564999,8.496654082593496,7.731319031025064,8.183387261248875,8.223519086790732,7.84987419379562,7.801546703356778,7.393175914348805,7.734709620225838,8.605109073832931,6.821455119102458,7.5660540381710915,7.1888360730305285,7.073606040574941,7.141596278383818,7.911092331587135,7.41193462479118,7.490249210627085,7.758889432720965,7.243173983472951,8.121533517340032,8.73267622307331,8.467197951537868
ABCC6,4.245113412711704,4.176822271306578,4.476270314825049,5.539406766237185,5.4182523599055274,5.362885030431694,4.866932662498608,3.384617819627359,4.0412212033869235,4.085748798356183,2.340345159837121,4.106377849916154,3.479519668974556,4.399247518075316,3.45790448491697,4.791502790622957,2.93204349479845,4.270837020213867,3.17182110383744,2.2336648313894223,3.123015881151971,4.610264816527881,3.15302363326178
ABCC8,1.8032211140658039,2.2114528713060917,1.7164797036380532,2.1066736408667204,1.677367119985302,2.483584303766314,1.9388721249745011,2.3612330122355454,1.716479703638053,1.6254807867666092,1.6961587113893801,2.7214717479243644,1.0945169121950085,1.7827985879271127,2.163124850418728,2.274218312348021,1.3435303441699462,1.4077877144312865,1.9194758834759713,1.5437314206251695,1.6537142625961234,2.627561507423895,1.3995436530370018
ABCC9,5.089794864455285,5.178097079648071,4.722931231825296,4.678574090128875,4.278127387564646,4.222925622234891,3.853684667152032,3.969871371921107,4.368100970594795,3.0106708853927806,4.005935701882404,4.536257429307839,2.4677843150635943,3.8512174435929993,2.9835283522781655,2.5653312710366336,3.150170068002262,3.059618014835871,3.1533241759544963,2.443615063207805,4.606794806704948,4.34959506361576,3.930862322982638
ABCD1,5.587964988882679,5.714245517666122,4.247927513443585,5.217230716220669,4.963474123974886,4.9818526532897405,5.161887682376894,5.608809242675524,5.0,4.2630344058337934,4.044394119358453,5.719731056749852,4.602884408718419,4.649615459063409,4.314696525656286,5.419538891513785,4.842978831788326,1.8073549220576042,5.325530331567558,4.560714954474479,5.108524456778169,4.590961241342599,4.224966365000275
ABCD1P2,3.292781749227846,3.4462562298895643,3.37851162325373,3.0874628412503395,2.5109619192773796,3.4462562298895643,2.8875252707415875,2.6322682154995127,2.8875252707415875,2.786596361890807,2.8875252707415875,3.035623909730721,2.655351828612554,1.722466024471091,2.4329594072761065,3.1043366598147357,1.4329594072761063,2.5360529002402097,3.0531113364595623,3.655351828612554,3.0531113364595623,2.963474123974886,4.24031432933371
ABCD2,4.070389327891398,4.19377174339668,4.129283016944966,3.0,3.6322682154995127,2.963474123974886,4.343407822297814,2.321928094887362,4.902073579310743,3.3923174227787602,4.602884408718419,1.1375035237499351,2.700439718141092,0.2630344058337938,1.2630344058337937,1.925999418556223,2.37851162325373,1.8073549220576042,1.722466024471091,2.560714954474479,1.4854268271702418,4.224966365000275,2.722466024471091
ABCD3,10.804211706569143,9.836366008716672,9.7971751421752,9.403864176606795,10.241625707802699,9.95172182905633,10.249706056969705,9.733523820207665,10.113481728275959,9.943247395901553,9.998308350354286,9.289788366056516,9.980853606379736,9.949534933017013,10.030529204697443,9.726558779104975,9.91513244895065,9.996897125512335,9.322604199738082,9.621136113274641,9.313109776295889,10.207624468226758,10.092492886859056
ABCD4,5.015678298127854,4.835770533355943,5.103006559211555,5.497176718429429,4.7144941025453555,5.178776002309042,5.417488307865764,4.233680502387516,4.58938221481306,6.017406357781315,4.332170305919904,4.414623521460605,3.447408881653972,5.005893165603304,4.351086342682774,5.309605618175075,5.243060518807923,5.324070917889566,4.954488993491586,4.892243812133209,5.6877858264354275,5.187926988209234,5.756809522181106
ABCE1,8.348488380161045,8.383705521058012,8.67205361772927,8.379486214088184,8.401926310979098,8.215286140619035,8.64979460796497,7.931964387002505,8.137031801642628,8.276957714426075,8.808468085739944,8.74533050148605,8.635030836363882,8.59455611110537,8.549634861292615,8.139385337375405,8.765532765881844,8.501463696108647,8.50952184265558,8.514746609552091,8.292799719436097,8.404621925456585,8.368882390575354
ABCF1,8.219652565103807,7.73674015545321,7.263973354803409,7.021257620560519,7.095924419998536,7.047669251391315,7.293701542080735,6.512542955096859,7.1927859592511245,7.941341105485299,7.962317654942308,6.736063627871814,8.111135670234708,7.889351852594645,7.344295907915817,6.834154981401319,7.926592510051067,8.072534599722955,7.73674015545321,8.048214384608036,7.934870291192027,7.422905742612183,8.329572125765376
ABCF2,6.525525141966698,5.5690542236960505,5.449331603754921,5.28797989458565,5.79697083623229,5.762511214050784,5.826229066895151,5.180014811783629,5.584107789820173,5.366912110227135,4.962907882780327,3.2920965051662328,6.1365812348020095,5.133298414086172,4.213270403522382,4.447559648315888,5.429831201791426,4.550174784325552,5.685190428662259,5.475124157932962,5.335863689190459,5.733627270178924,5.619713964574663
ABCF3,5.329123596291566,5.683696454306515,5.9092930858238235,3.7548875021634687,5.92362461136832,4.008988783227255,5.551516017628014,5.145677455195635,4.247927513443585,5.842978831788326,4.9818526532897405,6.149747119504682,4.9954845188775066,5.189824558880018,5.281698250098829,5.584962500721156,4.862947248020921,4.459431618637297,6.721099188707185,5.783980413683795,5.635173946674924,3.4982508675278257,5.727920454563199
ABCG1,6.9237636014048345,6.521415347227466,6.896020449285055,5.45087090890487,6.545968071677551,6.4201509643885615,6.897410986665611,6.383532528774605,6.393604394610673,6.649134407983997,6.0661855993662686,7.973781944126141,5.41228051498514,6.8571828686218925,7.278432623383312,7.136600940152524,6.856185041887412,6.320820427279455,7.237861649822713,5.222714379619161,6.095341378266764,6.040991334662838,6.67105956316462
ABCG2,5.3110671022555955,4.350497247084133,6.439623137557117,6.078951341394822,6.359310316890443,5.20163386116965,6.380244590478185,4.38543103719352,6.301953395126096,5.429615964201735,4.9954845188775066,6.300123724569014,4.760220946466509,5.20945336562895,5.3957483281790335,4.560714954474479,5.623515741490549,4.446256229889564,5.439623137557117,4.277984747299765,6.059614856297222,6.417852514885898,6.703211467391146
ABCG4,4.738767836800192,4.958842675243241,2.700439718141092,4.602884408718419,4.9259994185562235,6.093813673402728,6.412781525338476,5.817623257511431,5.804776377955828,5.044394119358453,4.944858445807539,5.498250867527825,5.392317422778761,5.03121873061072,5.116863757690899,5.880195728943098,4.661065479806948,3.700439718141092,4.078951341394822,4.765534746362977,4.446256229889564,5.768184324776926,5.412781525338476
ABCG5,1.4854268271702418,3.4724877714627436,3.035623909730721,4.161887682376894,1.2630344058337937,2.263034405833794,1.2630344058337937,4.008988783227255,1.8875252707415875,0.925999418556223,0.8479969065549501,1.925999418556223,1.4854268271702418,0.6780719051126377,1.3785116232537298,3.678071905112638,0.5849625007211562,1.2016338611696504,1.722466024471091,1.070389327891398,0.8479969065549501,1.84799690655495,3.7441610955704103
ABHD10,8.090112419664289,8.63263175211247,8.693835392482516,8.816663699750158,8.935165049603695,8.750539513354497,9.064473328753415,8.970393537914676,8.987548258953744,9.051752738524252,9.279146244054306,9.117123585704368,8.791814071161825,9.498250867527826,9.269594251683372,8.612499945739442,8.877744249949002,8.817942968325125,8.22062016744785,8.602513297451836,8.499447297485176,8.611762560064872,8.740792672277681
ABHD11,6.22881869049588,6.462706750670158,5.640967910449898,5.984133594540979,6.426264754702098,7.122051447713891,6.499845887083206,5.581953750848818,5.153805336079036,5.06177619758669,5.381975478557301,6.296457407371244,5.529820946528695,5.402585758232587,6.565292520581023,6.610286657081023,6.318316841334983,5.837943241891027,6.046578366620329,6.249824548616183,5.85049941375812,6.006746832440585,3.678071905112638
ABHD14A,6.794415866350106,6.589463892956097,5.270528942380718,6.133399125417198,5.757556688939453,7.011227255423254,6.943686951597095,6.376776571882982,6.185866545311334,7.288173968112302,7.705977901682522,6.944858445807539,6.305605789585429,7.236492618381302,6.587964988882679,5.791814071161826,6.584962500721156,7.088523256616632,6.436295119839363,5.520422248526446,6.137503523749935,5.643856189774724,6.704595347632403
ABHD14A-ACY1,6.417852514885898,6.343407822297814,6.4741115139424075,6.272396509037485,6.2686589550276715,5.6117625600648715,6.108524456778169,5.596935142387232,5.066089190457772,6.4561490346479955,6.499845887083206,5.581953750848818,6.008988783227255,6.246027980528104,5.7114949066500875,6.207502459258789,6.483815777264256,6.2268938135713885,6.642412772905056,5.990954860396993,6.153805336079036,5.820178962415188,6.9818526532897405
ABHD17A,7.18685706717715,6.92837032301897,7.016808287686554,7.187846909439575,6.381975478557301,7.481395824154128,7.722466024471091,7.105384749247602,7.05528243550119,7.756889855074617,7.491853096329675,6.778734244117836,7.970968660521811,7.881419908092401,7.137503523749935,7.103287808412022,7.852373449580268,6.974988111991927,7.636624620543649,6.808642467918064,7.4329594072761065,5.92362461136832,8.864805194241503
ABHD17B,4.82781902461732,4.91169158187234,3.733354340613827,2.1043366598147357,2.6322682154995127,5.972692654004264,4.4329594072761065,4.916476644437717,4.977279923499917,3.560714954474479,4.277984747299765,2.321928094887362,3.5109619192773796,4.153805336079036,4.485426827170242,5.38543103719352,4.321928094887363,3.070389327891398,4.643856189774724,2.1043366598147357,3.867896463992655,2.035623909730721,3.643856189774725
ABHD2,5.051591625525063,4.562545499828133,4.925886139459693,5.394352654392336,5.372215098669938,5.858876635560924,5.805555203467064,6.585076355137391,5.686282584560015,6.0864051163376445,5.813729231289311,6.09084758925153,6.270107544862424,6.368545693024652,6.916094235965077,5.342290571902333,6.577687399798196,7.165389809630771,6.353918763980028,7.66134293234293,6.207034561846943,5.782445866403173,4.830735954832868
ABHD3,7.305605789585429,7.820817181864166,8.353146825498083,7.7582232147267245,7.998308350354287,7.153805336079036,7.384567923173826,7.0,6.653919873119422,8.618018357571325,9.360627646192947,9.026800059343715,7.232660756790275,7.692092375427572,8.486633935070163,7.906890595608519,8.59544398458948,7.778734244117836,7.8954238103829715,7.836681593327116,8.08214904135387,8.146186791490736,9.085339669357369
ABHD4,7.006746832440585,6.376776571882982,6.590961241342599,7.047669251391315,7.443772392763739,7.948367231584678,7.184875342908284,7.59916899321943,7.3264294871223035,7.134426320220926,7.121015400961366,7.279842693520348,7.651769271417989,7.222070355247179,7.22013644739608,7.619853147391168,6.9886846867721655,6.994353436858858,6.345183447187665,6.554588851677638,5.897240425574799,7.090641751917847,6.842978831788326
